analysis_id,29v4o63hryut851
gene_symbol,Cntfr
pvalue,0.1930652
parameter_id,M-G-P_014_001_001
parameter_name,Eye
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
