gene_symbol,Traf6
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
pvalue,0.09900866
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:108072
analysis_id,0oq6s9f627aw98c
