parameter_id,JAX_LDT_008_001
gene_symbol,Eprs1
mouse_life_stage,Early adult
analysis_id,rpk77497g9420e8
pvalue,0.9767888
mouse_strain,C57BL
parameter_name,Percent time in dark
gene_accession_id,MGI:97838
