parameter_id,JAX_SLW_014_001
mouse_life_stage,Early adult
pvalue,0.3965157
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
analysis_id,87364p6fu0t2ax6
parameter_name,Breath rate during sleep standard deviation
mouse_strain,C57BL
