gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
parameter_id,MGP_IMM_017_001
pvalue,0.9738254
analysis_id,gw52904b2z28d99
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
