gene_symbol,Ninl
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1925427
pvalue,0.115281
analysis_id,6f0m0lr942p4297
parameter_name,Body Weight
mouse_strain,C57BL
