analysis_id,1lb43904s81vw35
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
parameter_id,MGP_IMM_010_001
gene_symbol,Sla2
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
pvalue,0.9914336
