parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5656042
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:99605
analysis_id,urjnd24nw78m590
gene_symbol,Cntfr
