parameter_name,Bone Mineral Content
gene_symbol,Exd1
gene_accession_id,MGI:3045306
pvalue,0.6517867
analysis_id,6c05j1j30148g68
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
