parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.6966024
mouse_strain,C57BL
analysis_id,01z9n1te89376h9
gene_symbol,Gfi1b
parameter_id,IMPC_IMM_046_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
