gene_symbol,Bmp7
pvalue,0.6403845
analysis_id,g3n96i694nk86w0
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,UIBC (unsaturated iron binding capacity)
parameter_id,IMPC_CBC_024_001
