parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Exd1
gene_accession_id,MGI:3045306
analysis_id,fk832o4x139357j
pvalue,0.624241
