parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:2446186
parameter_name,BMC/Body weight
gene_symbol,Lpgat1
pvalue,0.7470264
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,b249ae562xv18jh
