parameter_name,Tibia length
gene_symbol,Rab22a
analysis_id,o21415601022t20
pvalue,0.7632449
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
