pvalue,7.373733e-05
parameter_name,Iron
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
analysis_id,473o7e0z2z8yw21
gene_symbol,Cmpk1
mouse_strain,C57BL
