parameter_name,NK cell number
parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2314102
analysis_id,vs7274qgzi8e9cb
gene_accession_id,MGI:1931322
gene_symbol,Car13
