parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
analysis_id,0718710e274snqh
parameter_name,T cells - % of CD45+
pvalue,0.6542133
gene_symbol,Tiprl
mouse_strain,C52BL
