analysis_id,a1ga4a028c3xr18
parameter_name,Heart weight
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
gene_symbol,Trdmt1
mouse_strain,C57BL
pvalue,0.3658219
