analysis_id,89264p5v9904n2f
gene_accession_id,MGI:2684980
parameter_name,Cholesterol ratio
mouse_strain,C52BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
pvalue,0.2921921
gene_symbol,Mms22l
