analysis_id,8ck6a54wa4q6nx1
pvalue,1.399953
gene_accession_id,MGI:95457
mouse_strain,C57BL
parameter_name,PQ
gene_symbol,Mecom
parameter_id,IMPC_ECG_005_001
mouse_life_stage,E15.5
