parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
pvalue,0.9247638
mouse_strain,C57BL
analysis_id,k9393x387hph7bc
gene_symbol,Lurap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
