analysis_id,06yb83rl62k5q51
gene_symbol,Kifap3
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_name,B cell percentage
mouse_life_stage,Early adult
pvalue,0.5124811
