gene_symbol,Cmpk1
parameter_id,IMPC_CBC_053_001
analysis_id,f44781ce19rb40a
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
parameter_name,Thyroxine
mouse_strain,C57BL
pvalue,0.949372
