analysis_id,71b399b5p5oeks1
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
pvalue,0.3211626
mouse_strain,129SV
mouse_life_stage,Early adult
