parameter_name,B cell number
pvalue,0.2750899
gene_symbol,Atg4c
mouse_strain,C57BL
gene_accession_id,MGI:2651854
analysis_id,7u4m2rb033c77g8
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
