gene_symbol,Ddx27
parameter_name,Effector CD8+ T cells - % of CD8+
analysis_id,0086ppf57bw6m77
mouse_strain,C57BL
parameter_id,MGP_IMM_014_001
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
pvalue,0.1247241
