parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,T cells - % of CD45+
gene_accession_id,MGI:1924054
pvalue,0.9653546
gene_symbol,Kdm4c
analysis_id,2zkes6geim2k662
