analysis_id,00x619x52ow2339
gene_accession_id,MGI:97054
gene_symbol,Mov10
parameter_name,Center resting time
mouse_life_stage,Early adult
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
pvalue,0.760368
