analysis_id,0pp7tq89rn399ix
pvalue,0.2761299
gene_symbol,Bmp7
mouse_life_stage,Early adult
parameter_name,Potassium
mouse_strain,C57BL
parameter_id,GMC_906_001_005
gene_accession_id,MGI:103302
