analysis_id,2mlxf6i21nd13gc
mouse_life_stage,E12.5
parameter_name,Average duration
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,JAX_ROT_002_001
pvalue,0.5708503
gene_symbol,Bcs1l
