analysis_id,zm262w1c0f6k77h
gene_accession_id,MGI:106659
pvalue,0.6556418
gene_symbol,Sprr1b
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Percentage center time
