parameter_name,End-Systolic Diameter
pvalue,0.3472612
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rufy4
analysis_id,v7d4us7pyj6h8ee
gene_accession_id,MGI:3588214
parameter_id,IMPC_ECH_001_001
