analysis_id,x4m4asj12230157
parameter_name,Skull shape
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
pvalue,0.4141684
