analysis_id,4c5v4177tpyq6a8
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
pvalue,0.3975121
gene_symbol,Extl1
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
