gene_symbol,Rap2b
analysis_id,4r052x2691dljl6
pvalue,0.7090064
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
parameter_name,Neural tube morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
