gene_symbol,Rigi
gene_accession_id,MGI:2442858
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3932131
parameter_id,JAXLA_DXA_009_001
parameter_name,Fat/Body weight
analysis_id,5449e8edt7obl39
