parameter_name,Cornea
mouse_life_stage,Early adult
gene_symbol,Atf3
analysis_id,1z2p80469wq93i4
gene_accession_id,MGI:109384
mouse_strain,C57BL
pvalue,0.1487608
parameter_id,IMPC_EYE_007_001
