analysis_id,7cd36u87lji3ki1
pvalue,0.6098948
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Ahcy
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:87968
mouse_life_stage,E12.5
mouse_strain,C57BL
