analysis_id,f3705pwsf1qd9i6
parameter_name,Center average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
pvalue,0.5881378
parameter_id,JAXLA_OFD_017_001
