analysis_id,0q13h0gcv8726l6
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915087
mouse_strain,C57BL
pvalue,0.4480256
gene_symbol,Tiprl
