analysis_id,4q19953epg27l97
pvalue,0.7346098
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
mouse_strain,C57BL
parameter_name,Hindlimb nail - number
gene_symbol,Dnajc6
parameter_id,IMPC_CSD_051_002
