gene_symbol,Nemp2
analysis_id,8982392967n6412
parameter_name,Sodium
parameter_id,IMPC_CBC_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
pvalue,0.3561479
