gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_strain,C57BL
analysis_id,753rbx5a1y11t10
parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.4274653
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Late adult
