gene_symbol,Clvs1
analysis_id,3ot3oa12n5332va
pvalue,0.1585725
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
