analysis_id,4c1z46k0ub40ztn
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
mouse_strain,C57BL
parameter_name,Heart weight
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
pvalue,0.543917
