analysis_id,184ev7x1j2bg587
parameter_name,Platelet count
mouse_strain,C57BL
gene_symbol,Zmynd8
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
pvalue,0.1102095
