gene_symbol,Frmpd1
analysis_id,skg9ag63d88tfs5
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
pvalue,0.4897778
