parameter_name,Facial Morphology
analysis_id,05r7tu957vzdx31
mouse_strain,C57BL
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
parameter_id,IMPC_GEP_017_001
gene_symbol,Zyg11b
pvalue,0.6935438
