parameter_name,Corneal vascularization
gene_symbol,Zcchc2
pvalue,0.8501976
analysis_id,nec2x0672t8m688
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:2444114
mouse_strain,C57BL
mouse_life_stage,Early adult
