gene_symbol,CAR13
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
mouse_strain,C57BL
pvalue,0.3053466
analysis_id,d4219pzt6x7e727
parameter_name,Total holepokes
