parameter_id,IMPC_CBC_025_001
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
pvalue,0.2087079
mouse_strain,C57BL
parameter_name,LDL-cholesterol
analysis_id,4619nn34573936d
gene_accession_id,MGI:2441730
