gene_symbol,Ssr2
gene_accession_id,MGI:1913506
analysis_id,47z16fx0tcr7q42
pvalue,0.08659685
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_009
parameter_name,PP3 + pulse startle magnitude
mouse_strain,C57BL
