analysis_id,ns33o69263l31xz
parameter_name,Narrow eye opening
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
pvalue,0.3783767
gene_symbol,Nucks1
mouse_strain,C57BL
parameter_id,IMPC_EYE_006_001
