analysis_id,920373c26zrwuj0
pvalue,0.07388703
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
