analysis_id,99e7lg65709l868
parameter_name,Activity (body position)
pvalue,0.08644203
parameter_id,IMPC_CSD_029_001
gene_symbol,Npbwr1
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
mouse_strain,C57BL
