analysis_id,84xw41f5rf5dchj
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,Latency to center entry
pvalue,0.9280796
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_OFD_018_001
