gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.2647644
parameter_name,Coat - hair distribution - head
analysis_id,42d05317n0e27g9
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:97838
