parameter_name,Delayed embryonic development
analysis_id,7387dav52u601iy
gene_symbol,Frmpd1
pvalue,0.107108
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
