analysis_id,1y7h23zdxj673v8
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
pvalue,0.6212767
parameter_name,KLRG1+ Treg cells - % of CD45+
parameter_id,MGP_MLN_072_001
mouse_life_stage,E9.5
