analysis_id,w9504r3uxbtm298
parameter_id,IMPC_XRY_018_001
pvalue,0.923178
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
parameter_name,Shape of vertebrae
gene_symbol,Eprs1
