gene_symbol,Eprs1
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
pvalue,0.3947731
mouse_life_stage,E12.5
analysis_id,41h204lcsx04wr4
gene_accession_id,MGI:97838
parameter_id,MGP_IMM_027_001
