parameter_name,Retina (combined)
gene_accession_id,MGI:1916220
analysis_id,1apvn261t950816
gene_symbol,Dcaf12
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
pvalue,0.381788
mouse_strain,C57BL
