gene_symbol,S100a3
analysis_id,71fi6y4g20e93ec
gene_accession_id,MGI:1338849
parameter_id,HRWLLA_CSD_008_001
pvalue,0.1882222
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
