parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cmpk1
pvalue,0.950501
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1913838
analysis_id,4m76ryl591jajt8
